Typeface,Faces available,"Target script
and other notes","Windows
version",Example image
Nirmala UI,"Regular, Bold","Devanagari, Bengali, Gurmukhi, Gujarati, Oriya, Tamil, Telugu, Kannada, 
Malayalam, Sinhala",8,
News Gothic MT,Regular,Latin/Greek/Cyrillic,98,
NSimSun,Monospaced,Simplified Chinese,,
Nyala,Regular,Ethiopic,,
Palatino Linotype,"Regular, Bold, Italic, Bold Italic",Latin/Greek/Cyrillic,2000,
Plantagenet Cherokee,Regular,Cherokee,,
Raavi,"Regular, Bold",Gurmukhi,,
Rod,Regular,Hebrew,,
Sakkal Majalla,"Regular, Bold",Arabic,7,
Segoe Print,"Regular, Bold",Latin/Greek/Cyrillic,Vista,
Segoe Script,"Regular, Bold",Latin/Greek/Cyrillic,Vista,
Segoe UI v5.00[3],"Regular, Bold, Italic, Bold Italic","Latin/Greek/Cyrillic, Arabic",Vista,Segoe UI v5.00 (top) and v5.27 (bottom)
Segoe UI v5.01[4],"Light, Semibold, plus previous faces","Latin/Greek/Cyrillic, Arabic",7,
Segoe UI v5.27[5],"Light Italic, Semibold Italic, Semilight, Semilight Italic plus previous 
faces","Latin/Greek/Cyrillic, Arabic",8,
Segoe UI Symbol,Regular,Latin/Greek/Cyrillic,7,
Shonar Bangla,"Regular, Bold",Bengali,7,
Shruti,"Regular, Bold",Gujarati,,
SimHei,Monospaced,Simplified Chinese,,
SimKai,Monospaced,Simplified Chinese,,
Simplified Arabic,"Regular, Bold, Monospaced",Arabic,,
SimSun,Proportional,Simplified Chinese,,
SimSun-ExtB,Monospaced,Simplified Chinese,,
Sylfaen,Regular,"Armenian, Georgian",,
Symbol,Regular,,3.1,
Tahoma,"Regular, Bold","Latin/Greek/Cyrillic, Arabic, Hebrew, Thai",95,
Times New Roman,"Regular, Bold, Italic, Bold Italic","Latin/Greek/Cyrillic, Arabic, Hebrew",3.1,
Traditional Arabic,"Regular, Bold",Arabic,2000,
Trebuchet MS,"Regular, Bold, Italic, Bold Italic",Latin/Greek/Cyrillic,2000,
Tunga,"Regular, Bold",Kannada,,
Urdu Typesetting,Regular,Arabic,,
Utsaah,"Regular, Bold, Italic, Bold Italic",Devanagari,,
Vani,"Regular, Bold",Telugu,,
Verdana,"Regular, Bold, Italic, Bold Italic",Latin/Greek/Cyrillic,95,
Vijaya,"Regular, Bold",Tamil,,
Vrinda,"Regular, Bold",Bengali,,
Webdings,Regular,,98,
Westminster,Regular,Latin/Greek/Cyrillic,98,
Wingdings,Regular,,3.1,
